seed,model,coverage,abstention_rate,selective_accuracy,selective_macro_f1,error_rate_on_covered,review_rate,absent_recall,new_recall,persistent_recall,resolved_recall
11,biomedclip,1.0,0.0,0.7603686635944701,0.30600221583423165,0.23963133640552992,0.0,0.9252873563218391,0.09090909090909091,0.08333333333333333,0.1
11,qwen,1.0,0.0,0.6405529953917051,0.25754429678848284,0.35944700460829493,0.0,0.7701149425287356,0.36363636363636365,0.0,0.05
11,medchange,0.663594470046083,0.33640552995391704,0.8611111111111112,0.2339622641509434,0.13888888888888884,0.33640552995391704,1.0,0.0,0.0,0.0
21,biomedclip,1.0,0.0,0.7285714285714285,0.3432744557104129,0.27142857142857146,0.0,0.8690476190476191,0.17647058823529413,0.1111111111111111,0.1875
21,qwen,1.0,0.0,0.7619047619047619,0.3034971875764246,0.23809523809523814,0.0,0.9047619047619048,0.47058823529411764,0.0,0.0
21,medchange,0.7142857142857143,0.2857142857142857,0.8866666666666667,0.31979542719614923,0.11333333333333329,0.2857142857142857,1.0,0.25,0.0,0.0
42,biomedclip,1.0,0.0,0.7603686635944701,0.3827866373822256,0.23963133640552992,0.0,0.9069767441860465,0.16666666666666666,0.2,0.22727272727272727
42,qwen,1.0,0.0,0.6682027649769585,0.24907535268442638,0.3317972350230415,0.0,0.8197674418604651,0.16666666666666666,0.0,0.045454545454545456
42,medchange,0.6912442396313364,0.3087557603686636,0.86,0.23118279569892472,0.14,0.3087557603686636,0.9847328244274809,0.0,0.0,0.0
84,biomedclip,1.0,0.0,0.7901785714285714,0.382495375003791,0.2098214285714286,0.0,0.9234972677595629,0.3125,0.09090909090909091,0.14285714285714285
84,qwen,1.0,0.0,0.7142857142857143,0.2530487804878049,0.2857142857142857,0.0,0.8524590163934426,0.25,0.0,0.0
84,medchange,0.7678571428571429,0.23214285714285715,0.8604651162790697,0.27352786540483703,0.13953488372093026,0.23214285714285715,0.98,0.125,0.0,0.0
123,biomedclip,1.0,0.0,0.7465437788018433,0.3551677878955658,0.2534562211981567,0.0,0.8850574712643678,0.1111111111111111,0.1,0.3333333333333333
123,qwen,1.0,0.0,0.6866359447004609,0.28357047576700756,0.31336405529953915,0.0,0.8218390804597702,0.2222222222222222,0.0,0.13333333333333333
123,medchange,0.7096774193548387,0.2903225806451613,0.8571428571428571,0.3189484126984127,0.1428571428571429,0.2903225806451613,0.9774436090225563,0.1,0.0,0.125
