finding,status,auroc,auprc,f1,precision,recall,threshold,n_total,n_evaluated,n_positive,n_negative,n_excluded,view_position,n_view_samples
atelectasis,evaluated,0.5227386575067983,0.14536607429204618,0.2457002457002457,0.14749262536873156,0.7352941176470589,0.11499999999999999,479,479,68,411,0,AP,479
cardiomegaly,evaluated,0.791533180778032,0.12794149515270178,0.13793103448275862,0.10256410256410256,0.21052631578947367,0.8949999999999999,479,479,19,460,0,AP,479
consolidation,evaluated,0.732826900921659,0.13572739676466886,0.18840579710144928,0.10612244897959183,0.8387096774193549,0.08499999999999999,479,479,31,448,0,AP,479
edema,evaluated,0.7624427917620137,0.14159061959882044,0.1794871794871795,0.10526315789473684,0.6086956521739131,0.945,479,479,23,456,0,AP,479
pleural_effusion,evaluated,0.8042209325865444,0.35834636707817624,0.4830917874396135,0.373134328358209,0.684931506849315,0.20499999999999996,479,479,73,406,0,AP,479
pneumonia,evaluated,0.6354616630669546,0.06464084111799115,0.13043478260869565,0.07377049180327869,0.5625,0.95,479,479,16,463,0,AP,479
pneumothorax,evaluated,0.6913615560640732,0.10604383450526228,0.19117647058823528,0.11504424778761062,0.5652173913043478,0.4799999999999999,479,479,23,456,0,AP,479
atelectasis,evaluated,0.5812104349601798,0.11054170699661536,0.18128654970760233,0.10954063604240283,0.5254237288135594,0.11499999999999999,723,723,59,664,0,PA,723
cardiomegaly,evaluated,0.9037243792701216,0.1570994939378749,0.0,0.0,0.0,0.8949999999999999,723,723,17,706,0,PA,723
consolidation,evaluated,0.8010725229826354,0.044815397314484265,0.09448818897637795,0.05172413793103448,0.5454545454545454,0.08499999999999999,723,723,11,712,0,PA,723
edema,evaluated,0.705849582172702,0.029553591771636883,0.0,0.0,0.0,0.945,723,723,5,718,0,PA,723
pleural_effusion,evaluated,0.8468215325809976,0.3796586441458569,0.39097744360902253,0.3939393939393939,0.3880597014925373,0.20499999999999996,723,723,67,656,0,PA,723
pneumonia,evaluated,0.5182473268247326,0.013524891339509824,0.0,0.0,0.0,0.95,723,723,6,717,0,PA,723
pneumothorax,evaluated,0.7331484243893343,0.11523286009359318,0.23529411764705882,0.18518518518518517,0.3225806451612903,0.4799999999999999,723,723,31,692,0,PA,723
