finding,feature_set,macro_f1,balanced_accuracy,seed
atelectasis,current,0.1980155127431181,0.2333462732919254,11
atelectasis,prior_current,0.2180622651637144,0.2945005175983436,11
atelectasis,delta,0.1232571022225016,0.1329192546583851,11
atelectasis,abs_delta,0.2131278043132146,0.2945263975155279,11
atelectasis,current_delta,0.2345878136200716,0.3198110766045549,11
atelectasis,prior_current_delta,0.2335828087639682,0.3147386128364389,11
atelectasis,full,0.2393735796205274,0.3004658385093167,11
cardiomegaly,current,0.2266553480475381,0.3291962174940898,11
cardiomegaly,prior_current,0.3316457953554728,0.5505910165484633,11
cardiomegaly,delta,0.1785077023731636,0.298936170212766,11
cardiomegaly,abs_delta,0.2589142146705346,0.4053191489361702,11
cardiomegaly,current_delta,0.2496493688639551,0.4267139479905437,11
cardiomegaly,prior_current_delta,0.2853775374691709,0.4886524822695035,11
cardiomegaly,full,0.2892235399855415,0.4957446808510639,11
consolidation,current,0.2718315219689601,0.3182692307692307,11
consolidation,prior_current,0.2428571428571428,0.2625,11
consolidation,delta,0.1820785220054848,0.2522435897435897,11
consolidation,abs_delta,0.2403808490765012,0.2663461538461538,11
consolidation,current_delta,0.2776024363233665,0.3826923076923076,11
consolidation,prior_current_delta,0.2574783063707321,0.2891025641025641,11
consolidation,full,0.3105482593287471,0.3990384615384615,11
edema,current,0.2,0.1666666666666666,11
edema,prior_current,0.2695578231292517,0.4861111111111111,11
edema,delta,0.1619471413160733,0.1684027777777778,11
edema,abs_delta,0.2131782945736434,0.1909722222222222,11
edema,current_delta,0.2258207630878438,0.2361111111111111,11
edema,prior_current_delta,0.2273110661268556,0.2395833333333333,11
edema,full,0.2516666666666666,0.3072916666666666,11
pleural_effusion,current,0.3195107737790664,0.346281127129751,11
pleural_effusion,prior_current,0.3449123888631465,0.3645587592835299,11
pleural_effusion,delta,0.1561147186147186,0.2107525120139799,11
pleural_effusion,abs_delta,0.2606051282737279,0.2782656181738751,11
pleural_effusion,current_delta,0.2999448468198468,0.3069080384447357,11
pleural_effusion,prior_current_delta,0.3163194444444445,0.3416939711664482,11
pleural_effusion,full,0.3167292317476205,0.3258682830930537,11
pneumonia,current,0.2315711462450593,0.7450532724505328,11
pneumonia,prior_current,0.2585348015675884,0.7770167427701674,11
pneumonia,delta,0.211427193828351,0.5525114155251142,11
pneumonia,abs_delta,0.3052910052910053,0.7229832572298326,11
pneumonia,current_delta,0.2606299212598425,0.6887366818873669,11
pneumonia,prior_current_delta,0.2703440411490683,0.6933028919330289,11
pneumonia,full,0.2564690026954178,0.6004566210045662,11
pneumothorax,current,0.2263848025861756,0.2959586466165413,11
pneumothorax,prior_current,0.2809962717481359,0.4009868421052631,11
pneumothorax,delta,0.2242331202882609,0.3446428571428571,11
pneumothorax,abs_delta,0.1981937602627258,0.2147086466165413,11
pneumothorax,current_delta,0.234712950600801,0.3241071428571428,11
pneumothorax,prior_current_delta,0.2859193853721897,0.4234962406015038,11
pneumothorax,full,0.2999579523891668,0.4328947368421052,11
atelectasis,current,0.2231560592850915,0.310997688751926,21
atelectasis,prior_current,0.2244673744267504,0.2765986132511556,21
atelectasis,delta,0.2197809562684788,0.3858243451463791,21
atelectasis,abs_delta,0.1188433531148762,0.1432010785824345,21
atelectasis,current_delta,0.2283561595914012,0.3356317411402157,21
atelectasis,prior_current_delta,0.2427106082847016,0.3462249614791988,21
atelectasis,full,0.248423145481969,0.347573189522342,21
cardiomegaly,current,0.3294342376373626,0.92183908045977,21
cardiomegaly,prior_current,0.3284644194756554,0.7804597701149425,21
cardiomegaly,delta,0.171428110896196,0.6241379310344828,21
cardiomegaly,abs_delta,0.1818181818181818,0.1931034482758621,21
cardiomegaly,current_delta,0.3376615277154119,0.935632183908046,21
cardiomegaly,prior_current_delta,0.3576957098628925,0.9448275862068966,21
cardiomegaly,full,0.3347578347578347,0.7850574712643678,21
consolidation,current,0.3306563841143281,0.5626984126984127,21
consolidation,prior_current,0.3356865571932815,0.4626984126984127,21
consolidation,delta,0.1958090928679164,0.2908730158730158,21
consolidation,abs_delta,0.2606432311144352,0.2964285714285714,21
consolidation,current_delta,0.3097982594307352,0.3996031746031746,21
consolidation,prior_current_delta,0.2782874617737003,0.2853174603174603,21
consolidation,full,0.294173118919992,0.3206349206349206,21
edema,current,0.2834198027036901,0.5380614657210402,21
edema,prior_current,0.3008423394787031,0.5475177304964539,21
edema,delta,0.1943714241533941,0.2534278959810874,21
edema,abs_delta,0.2073170731707317,0.2411347517730496,21
edema,current_delta,0.2809808612440191,0.4903073286052009,21
edema,prior_current_delta,0.264,0.3862884160756501,21
edema,full,0.264,0.3862884160756501,21
pleural_effusion,current,0.3300390786576567,0.4238119834710744,21
pleural_effusion,prior_current,0.3103678270689799,0.3758608815426997,21
pleural_effusion,delta,0.1696530086360594,0.3413395316804408,21
pleural_effusion,abs_delta,0.1742292661745549,0.1740702479338843,21
pleural_effusion,current_delta,0.343073593073593,0.415461432506887,21
pleural_effusion,prior_current_delta,0.3061697375767728,0.3758608815426997,21
pleural_effusion,full,0.3103214088288715,0.3779269972451791,21
pneumonia,current,0.2192671394799054,0.4305555555555555,21
pneumonia,prior_current,0.2581467181467181,0.4837962962962963,21
pneumonia,delta,0.2291666666666666,0.3541666666666667,21
pneumonia,abs_delta,0.2629884070416488,0.4074074074074074,21
pneumonia,current_delta,0.2689930934205743,0.4907407407407407,21
pneumonia,prior_current_delta,0.2551580333625988,0.3912037037037037,21
pneumonia,full,0.2636554621848739,0.3981481481481481,21
pneumothorax,current,0.3056261140819964,0.481750645994832,21
pneumothorax,prior_current,0.3800083246922054,0.5263242894056848,21
pneumothorax,delta,0.1984093468468468,0.221172480620155,21
pneumothorax,abs_delta,0.2259615384615384,0.2838339793281654,21
pneumothorax,current_delta,0.3489028213166144,0.5069444444444444,21
pneumothorax,prior_current_delta,0.3678873890406862,0.5205103359173127,21
pneumothorax,full,0.4002510649437186,0.5560400516795865,21
atelectasis,current,0.1901896180742334,0.2111251580278128,42
atelectasis,prior_current,0.2109033989266547,0.2334070796460177,42
atelectasis,delta,0.1631339409535533,0.2012923163365641,42
atelectasis,abs_delta,0.2005165989159891,0.2076134288523669,42
atelectasis,current_delta,0.2194167322101254,0.2512642225031605,42
atelectasis,prior_current_delta,0.239922480620155,0.2735461441213653,42
atelectasis,full,0.2334932394138126,0.2511061946902655,42
cardiomegaly,current,0.2524533080088635,0.3363746958637469,42
cardiomegaly,prior_current,0.2549019607843137,0.4464720194647202,42
cardiomegaly,delta,0.1691087965119529,0.4501216545012165,42
cardiomegaly,abs_delta,0.1882220555138785,0.2633819951338199,42
cardiomegaly,current_delta,0.284099672257567,0.5127737226277372,42
cardiomegaly,prior_current_delta,0.2521872265966754,0.4440389294403893,42
cardiomegaly,full,0.2713963963963964,0.4562043795620438,42
consolidation,current,0.3346765622136705,0.4241803278688524,42
consolidation,prior_current,0.3285590003163556,0.4025500910746812,42
consolidation,delta,0.1866892555119299,0.2629781420765027,42
consolidation,abs_delta,0.2504012841091493,0.2711748633879781,42
consolidation,current_delta,0.303153953889248,0.355191256830601,42
consolidation,prior_current_delta,0.308483635929288,0.3592896174863388,42
consolidation,full,0.3062765896286076,0.3572404371584698,42
edema,current,0.2670246253092737,0.4968065693430656,42
edema,prior_current,0.2160493827160493,0.1916058394160583,42
edema,delta,0.1682464454976303,0.1295620437956204,42
edema,abs_delta,0.2177419354838709,0.1970802919708029,42
edema,current_delta,0.2136929460580912,0.187956204379562,42
edema,prior_current_delta,0.2136929460580912,0.187956204379562,42
edema,full,0.2183673469387755,0.1952554744525547,42
pleural_effusion,current,0.3855655230070981,0.4437106918238993,42
pleural_effusion,prior_current,0.2880691734094875,0.2964122355631789,42
pleural_effusion,delta,0.1721230158730158,0.253902229845626,42
pleural_effusion,abs_delta,0.2090932964094728,0.2073327615780446,42
pleural_effusion,current_delta,0.3449937567934172,0.3657661520869067,42
pleural_effusion,prior_current_delta,0.3400959704764758,0.3620640365923384,42
pleural_effusion,full,0.3462482201942712,0.3644225271583762,42
pneumonia,current,0.267526518804243,0.5289855072463768,42
pneumonia,prior_current,0.2182539682539682,0.2657004830917874,42
pneumonia,delta,0.226699648898819,0.3526570048309179,42
pneumonia,abs_delta,0.2113821138211382,0.251207729468599,42
pneumonia,current_delta,0.259449694274597,0.3888888888888889,42
pneumonia,prior_current_delta,0.2643302643302643,0.393719806763285,42
pneumonia,full,0.2330827067669172,0.2995169082125604,42
