finding,feature_set,macro_f1,balanced_accuracy
atelectasis,current,0.19018961807423346,0.21112515802781287
atelectasis,prior_current,0.21090339892665474,0.2334070796460177
atelectasis,delta,0.16313394095355335,0.20129231633656414
atelectasis,abs_delta,0.20051659891598916,0.2076134288523669
atelectasis,current_delta,0.21941673221012542,0.25126422250316055
atelectasis,prior_current_delta,0.23992248062015506,0.27354614412136535
atelectasis,full,0.23349323941381264,0.2511061946902655
cardiomegaly,current,0.25245330800886356,0.33637469586374696
cardiomegaly,prior_current,0.2549019607843137,0.4464720194647202
cardiomegaly,delta,0.16910879651195293,0.45012165450121655
cardiomegaly,abs_delta,0.1882220555138785,0.26338199513381993
cardiomegaly,current_delta,0.28409967225756705,0.5127737226277372
cardiomegaly,prior_current_delta,0.2521872265966754,0.4440389294403893
cardiomegaly,full,0.2713963963963964,0.4562043795620438
consolidation,current,0.3346765622136705,0.4241803278688524
consolidation,prior_current,0.3285590003163556,0.4025500910746812
consolidation,delta,0.18668925551192994,0.2629781420765027
consolidation,abs_delta,0.2504012841091493,0.27117486338797814
consolidation,current_delta,0.30315395388924804,0.35519125683060104
consolidation,prior_current_delta,0.30848363592928807,0.3592896174863388
consolidation,full,0.3062765896286076,0.35724043715846987
edema,current,0.2670246253092737,0.49680656934306566
edema,prior_current,0.21604938271604937,0.19160583941605838
edema,delta,0.16824644549763032,0.12956204379562045
edema,abs_delta,0.21774193548387097,0.19708029197080293
edema,current_delta,0.21369294605809128,0.18795620437956204
edema,prior_current_delta,0.21369294605809128,0.18795620437956204
edema,full,0.21836734693877552,0.19525547445255476
pleural_effusion,current,0.3855655230070981,0.44371069182389933
pleural_effusion,prior_current,0.28806917340948757,0.29641223556317897
pleural_effusion,delta,0.17212301587301587,0.25390222984562605
pleural_effusion,abs_delta,0.20909329640947288,0.2073327615780446
pleural_effusion,current_delta,0.3449937567934172,0.36576615208690677
pleural_effusion,prior_current_delta,0.34009597047647583,0.36206403659233843
pleural_effusion,full,0.3462482201942712,0.3644225271583762
pneumonia,current,0.267526518804243,0.5289855072463768
pneumonia,prior_current,0.21825396825396826,0.26570048309178745
pneumonia,delta,0.22669964889881905,0.3526570048309179
pneumonia,abs_delta,0.21138211382113822,0.25120772946859904
pneumonia,current_delta,0.259449694274597,0.3888888888888889
pneumonia,prior_current_delta,0.2643302643302643,0.393719806763285
pneumonia,full,0.23308270676691728,0.2995169082125604
pneumothorax,current,0.27965455597034544,0.3437142857142857
pneumothorax,prior_current,0.335474858644195,0.441047619047619
pneumothorax,delta,0.20092093441150044,0.35304761904761905
pneumothorax,abs_delta,0.18265993265993266,0.21333333333333332
pneumothorax,current_delta,0.34324696027255963,0.48071428571428576
pneumothorax,prior_current_delta,0.33931903911058164,0.445047619047619
pneumothorax,full,0.3477846692276629,0.44904761904761903
