finding,feature_set,macro_f1,balanced_accuracy
atelectasis,current,0.29250062285116346,0.3708607006020799
atelectasis,prior_current,0.2888915312116364,0.41184318555008215
atelectasis,delta,0.16432370820668693,0.22400109469074986
atelectasis,abs_delta,0.21955201263560192,0.2583128078817734
atelectasis,current_delta,0.29005189255189257,0.38967569786535305
atelectasis,prior_current_delta,0.304567376099168,0.43531061850027364
atelectasis,full,0.2931379448331057,0.42323481116584566
cardiomegaly,current,0.2328310276679842,0.39954337899543385
cardiomegaly,prior_current,0.25259316173645796,0.33866057838660574
cardiomegaly,delta,0.19733097619868922,0.3888888888888889
cardiomegaly,abs_delta,0.22655374268277495,0.30441400304414
cardiomegaly,current_delta,0.2767934312878133,0.4893455098934551
cardiomegaly,prior_current_delta,0.24600383631713557,0.3340943683409437
cardiomegaly,full,0.3032738095238095,0.5167427701674278
consolidation,current,0.21460722323438003,0.20654726952436875
consolidation,prior_current,0.24365692222835078,0.26996476805637115
consolidation,delta,0.23116883116883116,0.27592483852025834
consolidation,abs_delta,0.23933823123848608,0.35105695830886674
consolidation,current_delta,0.2804964539007092,0.32759835584263064
consolidation,prior_current_delta,0.25526315789473686,0.27950675278919557
consolidation,full,0.25779530447542187,0.2871403405754551
edema,current,0.2509920634920635,0.3459770114942529
edema,prior_current,0.29953921686989415,0.47442528735632183
edema,delta,0.23790708812260536,0.4764367816091954
edema,abs_delta,0.25404286273851495,0.35287356321839086
edema,current_delta,0.35094246031746035,0.6410919540229886
edema,prior_current_delta,0.3359477124183006,0.6045977011494252
edema,full,0.295036394740373,0.4379310344827586
pleural_effusion,current,0.2691524156620877,0.30135216165977097
pleural_effusion,prior_current,0.3474757035961126,0.3935330095340888
pleural_effusion,delta,0.20067700728595741,0.2642021946393236
pleural_effusion,abs_delta,0.208821887213847,0.21262067518138755
pleural_effusion,current_delta,0.34379074315514996,0.3967710019787732
pleural_effusion,prior_current_delta,0.3594088473378178,0.41377046231336573
pleural_effusion,full,0.33509677729404047,0.3740645799604245
pneumonia,current,0.27571428571428575,0.6201814058956916
pneumonia,prior_current,0.24763623861096784,0.3645124716553288
pneumonia,delta,0.23010956193380896,0.4098639455782313
pneumonia,abs_delta,0.25549645390070924,0.40589569160997735
pneumonia,current_delta,0.2826271394845563,0.4688208616780045
pneumonia,prior_current_delta,0.30598378440105056,0.4801587301587302
pneumonia,full,0.27283653846153844,0.38945578231292516
pneumothorax,current,0.24852212051868802,0.3117934224049332
pneumothorax,prior_current,0.28494208494208495,0.4028134635149023
pneumothorax,delta,0.17790815481032873,0.30768242548818087
pneumothorax,abs_delta,0.21019912578921807,0.2562307297019527
pneumothorax,current_delta,0.2871201284484017,0.43672918807810895
pneumothorax,prior_current_delta,0.29927083500634405,0.41000770811921894
pneumothorax,full,0.3045616186388718,0.4207990750256937
